x,pdf_class,pdf_function,moment,class_value,function_value,class_samples,function_samples
,,,,,,1.39259,0.240601
,,,,,,0.836431,0.209466
,,,,,,2.93313,-3.01582
,,,,,,-0.876232,0.423329
,,,,,,0.849972,-0.910616
,,,,,,1.046,1.68212
,,,,,,-0.909829,0.468423
,,,,,,0.876305,2.32075
,,,,,,2.33005,-1.36152
,,,,,,3.24164,0.361264
,,,,,,1.49188,2.17245
,,,,,,4.03422,1.28442
,,,,,,1.37531,0.400796
,,,,,,0.42575,-0.0155903
,,,,,,0.685385,1.51393
,,,,,,0.243857,2.16323
,,,,,,1.10736,1.53092
,,,,,,2.74883,0.29393
,,,,,,1.39219,1.95525
,,,,,,1.1849,2.05132
,,,,,,2.17128,-1.76256
,,,,,,1.68025,1.09204
,,,,,,3.0315,0.917239
,,,,,,1.99195,1.18418
,,,,,,0.16157,-1.61631
,,,,,,-0.660514,1.5507
,,,,,,1.18938,-1.63941
,,,,,,2.80208,0.781089
,,,,,,-0.384608,-0.363867
,,,,,,0.501843,1.78894
,,,,,,0.984852,1.71165
,,,,,,1.03468,0.226619
,,,,,,-1.16483,-0.233919
,,,,,,-0.297098,-0.668761
,,,,,,1.14022,1.86453
,,,,,,3.24548,1.66402
,,,,,,1.41099,0.744795
,,,,,,1.74238,0.0419042
,,,,,,-0.457026,0.35455
,,,,,,1.27877,-0.486142
,,,,,,1.27589,-3.20211
,,,,,,-0.0467341,3.95363
,,,,,,-2.94436,1.2598
,,,,,,1.77676,0.834553
,,,,,,0.64737,1.69866
,,,,,,0.461899,2.62219
,,,,,,0.299286,1.13108
,,,,,,4.06915,-2.53202
,,,,,,1.5056,-0.126005
,,,,,,0.720532,-0.959906
,,,,,,0.717255,2.04893
,,,,,,-1.07644,-0.241553
,,,,,,0.993938,1.81168
,,,,,,3.96184,3.41745
,,,,,,5.09193,1.30785
,,,,,,-0.885798,2.12387
,,,,,,1.52815,2.05696
,,,,,,0.971287,1.89601
,,,,,,0.722849,1.01649
,,,,,,2.70582,1.60514
,,,,,,0.548785,2.8674
,,,,,,-0.114285,4.77076
,,,,,,1.19208,1.74254
,,,,,,0.0425258,1.33996
,,,,,,0.313657,0.399809
,,,,,,1.34882,-1.01356
,,,,,,0.955615,2.53646
,,,,,,3.48283,1.59904
,,,,,,1.79232,1.45995
,,,,,,-1.51849,0.0342504
,,,,,,0.260319,1.14335
,,,,,,-2.59511,-0.17012
,,,,,,0.831104,4.35832
,,,,,,0.714353,-0.635644
,,,,,,-0.325328,-1.64844
,,,,,,0.0975732,0.794146
,,,,,,1.3489,1.54207
,,,,,,0.220508,-0.2424
,,,,,,2.51051,1.88099
,,,,,,0.896401,-0.915537
,,,,,,0.995781,3.56274
,,,,,,0.528622,1.37633
,,,,,,-0.630551,2.72102
,,,,,,1.10736,2.63988
,,,,,,1.8283,-0.986677
,,,,,,0.769509,0.84003
,,,,,,0.199332,0.246344
,,,,,,-0.142929,1.77684
,,,,,,2.05555,1.40996
,,,,,,-0.195302,0.558468
,,,,,,1.84892,1.6502
,,,,,,3.76152,1.70179
,,,,,,1.80385,2.1788
,,,,,,1.58093,1.01824
,,,,,,-1.38722,-0.588229
,,,,,,1.77263,1.77957
,,,,,,0.861214,2.40022
,,,,,,2.6526,1.80943
,,,,,,2.08656,-0.412379
,,,,,,-0.0895067,-0.958708
,,,,,,1.43782,-0.269554
,,,,,,1.87474,2.32254
,,,,,,0.933659,0.399631
,,,,,,-0.176802,1.37414
,,,,,,3.12748,1.58733
,,,,,,1.44016,0.517527
,,,,,,0.754528,-0.227085
,,,,,,0.309978,-0.511281
,,,,,,0.0261597,-1.6487
,,,,,,0.192841,1.49712
,,,,,,1.28549,2.66115
,,,,,,0.680923,-1.07539
,,,,,,1.98162,2.74387
,,,,,,-0.761625,-0.460099
,,,,,,-0.493291,1.34068
,,,,,,2.40607,-2.21569
,,,,,,0.897308,0.00441759
,,,,,,-0.0530665,1.54566
,,,,,,0.821958,-0.19459
,,,,,,1.02866,2.24061
,,,,,,0.242858,0.676018
,,,,,,2.65017,2.44968
,,,,,,-0.846984,0.471273
,,,,,,1.07451,-0.843692
,,,,,,0.471896,3.49149
,,,,,,-1.03906,-0.887841
,,,,,,0.449327,-1.21644
,,,,,,0.17653,1.15033
,,,,,,-0.416623,0.207104
,,,,,,2.2724,3.34132
,,,,,,1.72217,-1.14727
,,,,,,-4.597,0.854989
,,,,,,1.67069,2.55341
,,,,,,0.744937,3.71462
,,,,,,0.821124,-1.21425
,,,,,,1.76646,2.13043
,,,,,,5.4821,1.02935
,,,,,,2.38245,-1.90605
,,,,,,0.244246,1.80096
,,,,,,0.941499,0.591297
,,,,,,-4.31618,-0.897128
,,,,,,1.1622,0.652909
,,,,,,1.81346,0.762749
,,,,,,-0.323196,0.55645
,,,,,,1.36319,0.554414
,,,,,,2.07801,3.45805
,,,,,,-0.441708,1.31787
,,,,,,0.556168,3.64803
,,,,,,4.66654,2.86537
,,,,,,0.490313,-0.160178
,,,,,,1.81828,-0.557158
,,,,,,-0.567977,1.68273
,,,,,,0.705483,3.20839
,,,,,,2.39971,1.73512
,,,,,,1.26174,-1.85038
,,,,,,0.347344,0.0245999
,,,,,,-0.560054,-0.209357
,,,,,,2.78403,-1.06761
,,,,,,3.03702,1.75262
,,,,,,0.476642,0.797686
,,,,,,-2.28134,1.59535
,,,,,,2.38836,0.366041
,,,,,,1.21655,0.856008
,,,,,,-2.05705,2.2175
,,,,,,-0.544313,-0.457923
,,,,,,-0.483154,2.14726
,,,,,,0.71894,1.94563
,,,,,,1.7694,-0.650206
,,,,,,1.0532,2.37561
,,,,,,3.14159,0.145436
,,,,,,1.59094,0.596756
,,,,,,-0.801883,-0.964883
,,,,,,1.61862,2.81446
,,,,,,-0.847383,-0.00211825
,,,,,,1.48706,2.16274
,,,,,,-0.363951,0.060493
,,,,,,0.222819,-1.01657
,,,,,,0.00603579,-1.34006
,,,,,,2.45436,-0.681943
,,,,,,2.73887,1.98038
,,,,,,0.42853,2.16024
,,,,,,-1.55491,2.56878
,,,,,,0.495914,0.44497
,,,,,,2.99412,-0.447354
,,,,,,-1.15595,1.59814
,,,,,,0.149316,0.250271
,,,,,,0.475863,0.328625
,,,,,,-0.797391,0.859296
,,,,,,2.11946,1.43924
,,,,,,-2.13989,1.48986
,,,,,,3.49551,-0.996814
,,,,,,1.31622,-0.358959
,,,,,,1.22535,0.62409
,,,,,,1.40175,2.40939
,,,,,,0.770936,1.95374
,,,,,,0.0620008,0.685254
,,,,,,2.41861,0.989589
,,,,,,0.594615,1.33029
,,,,,,-1.80658,-0.827701
,,,,,,3.4796,-0.126882
,,,,,,-0.369107,1.09889
,,,,,,0.849856,-1.42884
,,,,,,1.88641,1.09857
,,,,,,-0.892786,0.469586
,,,,,,2.49442,2.16687
,,,,,,2.35279,0.831547
,,,,,,1.14769,2.55423
,,,,,,0.103252,2.12378
,,,,,,4.78698,0.878646
,,,,,,1.44024,0.701005
,,,,,,-0.316694,1.78202
,,,,,,1.87945,2.14007
,,,,,,-0.46546,0.804183
,,,,,,2.01716,-0.937993
,,,,,,-1.25964,1.14112
,,,,,,0.0674637,0.638891
,,,,,,1.22028,0.811505
,,,,,,1.95816,1.71944
,,,,,,2.10178,6.90866
,,,,,,-0.788609,0.600315
,,,,,,-0.0336946,3.44083
,,,,,,0.65149,2.34544
,,,,,,2.17075,1.16788
,,,,,,3.23763,1.41141
,,,,,,1.01842,1.16135
,,,,,,-0.581999,0.230128
,,,,,,-0.69997,3.57061
,,,,,,0.877461,-1.81402
,,,,,,1.18786,0.335741
,,,,,,1.62322,2.44787
,,,,,,1.63983,1.37211
,,,,,,1.5106,-1.50962
,,,,,,0.654583,1.35997
,,,,,,1.16265,0.828605
,,,,,,-0.0117092,5.62061
,,,,,,1.12573,0.147912
,,,,,,0.597586,0.235218
,,,,,,2.60335,2.17198
,,,,,,1.5347,5.41191
,,,,,,1.72614,0.249177
,,,,,,0.543069,1.56003
,,,,,,-3.54207,0.371257
,,,,,,3.22833,1.45547
,,,,,,-0.0164042,-0.587957
,,,,,,0.707899,0.241679
,,,,,,1.67585,2.56067
,,,,,,0.259319,3.2462
,,,,,,0.657233,3.59913
,,,,,,-1.1517,2.99053
,,,,,,-0.398551,-0.222968
,,,,,,1.69886,4.45787
,,,,,,-0.493429,0.327033
,,,,,,2.95292,0.640368
,,,,,,1.52522,4.99638
,,,,,,2.60031,1.18759
,,,,,,2.45769,1.94456
,,,,,,3.68186,3.36766
,,,,,,3.49381,2.07604
,,,,,,-0.452999,3.0563
,,,,,,-0.239189,1.30739
,,,,,,-0.298002,2.13344
,,,,,,0.181991,2.63162
,,,,,,0.837943,1.81908
,,,,,,1.90731,0.462479
,,,,,,2.58866,0.288985
,,,,,,0.0867995,-0.0693814
,,,,,,1.8774,-2.73901
,,,,,,0.892848,2.42556
,,,,,,1.07589,1.04625
,,,,,,1.27174,-0.208669
,,,,,,-0.530098,0.544439
,,,,,,0.414232,1.27464
,,,,,,-1.75108,0.60266
,,,,,,0.0234114,3.91782
,,,,,,3.44461,2.01345
,,,,,,-2.88883,-1.11058
,,,,,,-0.0373161,-1.43379
,,,,,,1.68112,1.69815
,,,,,,1.07132,1.21623
,,,,,,0.105358,1.01136
,,,,,,0.894605,-0.267485
,,,,,,0.770746,-1.31373
,,,,,,-0.0351792,1.11562
,,,,,,-1.81551,0.835956
,,,,,,0.269136,-1.00316
,,,,,,1.54824,0.141755
,,,,,,1.27378,-0.102632
,,,,,,-1.61558,1.81275
,,,,,,0.0576997,2.70223
,,,,,,0.713044,2.05728
,,,,,,4.59458,1.34054
,,,,,,4.47258,2.76219
,,,,,,0.704507,1.84706
,,,,,,1.60112,1.51078
,,,,,,2.59521,2.61297
,,,,,,4.22908,-0.252487
,,,,,,3.05906,-2.86972
,,,,,,1.08154,-0.729047
,,,,,,1.3003,3.18088
,,,,,,2.15368,5.062
,,,,,,1.7604,-4.3375
,,,,,,2.1168,-1.96079
,,,,,,1.48991,0.869958
,,,,,,2.18403,2.45906
,,,,,,-1.00469,-0.82454
,,,,,,0.203161,0.357163
,,,,,,0.12272,-0.495941
,,,,,,1.09572,0.167642
,,,,,,2.44416,-0.319888
,,,,,,-0.270853,0.624662
,,,,,,-0.17909,5.32136
,,,,,,-1.34417,-0.552947
,,,,,,1.35102,0.246126
,,,,,,-1.20378,1.2023
,,,,,,2.67982,1.71194
,,,,,,1.06623,0.310507
,,,,,,-0.461039,2.76459
,,,,,,0.445608,1.42353
,,,,,,1.74434,3.12823
,,,,,,1.61484,1.59932
,,,,,,0.901308,1.78252
,,,,,,3.42571,0.961206
,,,,,,1.29573,4.74757
,,,,,,0.744603,1.31034
,,,,,,2.12889,1.15341
,,,,,,0.628176,-0.742566
,,,,,,2.93834,-1.36186
,,,,,,0.154533,4.08913
,,,,,,-0.153889,2.02342
,,,,,,0.426923,-0.724952
,,,,,,1.62765,-0.927835
,,,,,,0.63476,-0.53733
,,,,,,0.840512,4.45027
,,,,,,1.48927,1.13902
,,,,,,-1.66966,2.181
,,,,,,3.5513,0.181509
,,,,,,-0.417181,0.441794
,,,,,,0.0577266,1.67173
,,,,,,1.78074,2.92263
,,,,,,0.807017,2.3082
,,,,,,0.584207,-2.23887
,,,,,,1.91316,0.0523543
,,,,,,2.00902,2.16439
,,,,,,0.717665,1.41122
,,,,,,-1.0582,0.151902
,,,,,,1.29941,2.19606
,,,,,,-0.000296151,-2.10511
,,,,,,-2.31174,0.522303
,,,,,,-0.976025,0.420442
,,,,,,2.27458,3.08492
,,,,,,0.371253,1.6852
,,,,,,0.398188,1.42896
,,,,,,-0.757579,1.15575
,,,,,,0.00908388,0.416221
,,,,,,1.94584,-0.039592
,,,,,,1.63168,-0.495147
,,,,,,1.11839,3.75263
,,,,,,-0.143786,0.257558
,,,,,,0.983133,0.606332
,,,,,,0.909921,1.24929
,,,,,,-1.41836,2.5914
,,,,,,-2.73156,-1.08301
,,,,,,2.09336,1.06343
,,,,,,2.18729,0.564044
,,,,,,-1.14015,-0.926625
,,,,,,1.56444,1.48015
,,,,,,2.30288,3.13193
,,,,,,2.13287,3.9696
,,,,,,4.43988,2.42316
,,,,,,0.902661,3.98661
,,,,,,0.754498,3.2052
,,,,,,2.17555,-0.961397
,,,,,,2.91352,2.2903
,,,,,,0.687906,2.65872
,,,,,,1.15733,1.97886
,,,,,,3.34285,0.665567
,,,,,,2.06069,1.24858
,,,,,,3.03814,-1.569
,,,,,,1.26364,-0.551109
,,,,,,1.18129,3.97303
,,,,,,0.565729,2.36873
,,,,,,2.70614,-0.545207
,,,,,,2.45414,0.381376
,,,,,,-0.593912,-0.104109
,,,,,,-0.118585,0.864092
,,,,,,-0.454461,0.74597
,,,,,,2.21565,3.08224
,,,,,,2.38087,-0.086776
,,,,,,0.98649,-1.30603
,,,,,,0.149779,0.986471
,,,,,,-0.413607,-0.996273
,,,,,,1.54243,0.0390647
,,,,,,0.644708,0.952244
,,,,,,-0.476314,2.60692
,,,,,,1.89239,1.02892
,,,,,,3.62233,3.02388
,,,,,,1.35571,2.18436
,,,,,,0.671378,0.63229
,,,,,,1.13611,1.16318
,,,,,,0.970953,1.93967
,,,,,,3.47275,-0.32197
,,,,,,1.65192,-0.0815859
,,,,,,0.861829,2.46022
,,,,,,0.572981,0.207882
,,,,,,2.19569,3.01508
,,,,,,0.594436,0.928075
,,,,,,-0.40329,1.56789
,,,,,,0.199316,1.28249
,,,,,,-0.195077,2.41044
,,,,,,1.89194,-0.545657
